order_id,customer_id,name,email,mobile,product_id,product name,product type,product price,order status,membership points
1,1001,Edmund,edmudjony20@gmail.com,3413338011,102,Hamburger,burger,3.1,placed,30
1,1001,Edmund,edmudjony20@gmail.com,3413338011,106,coke,drink,2.25,placed,10
1,1001,Edmund,edmudjony20@gmail.com,3413338011,114,Milk,drink,0.99,placed,10
2,1001,Edmund,edmudjony20@gmail.com,3413338011,103,Shakes,drink,2.8,complete,10
3,1001,Edmund,edmudjony20@gmail.com,3413338011,116,Coffe,drink,1.35,complete ,10
4,1001,Edmund,edmudjony20@gmail.com,3413338011,102,Hamburger,burger,3.1,in progress,30
4,1001,Edmund,edmudjony20@gmail.com,3413338011,106,coke,drink,2.25,in progress,10
4,1001,Edmund,edmudjony20@gmail.com,3413338011,116,Coffe,drink,1.35,in progress,10
4,1001,Edmund,edmudjony20@gmail.com,3413338011,110,Root Beer,drink,2.25,in progress,10
5,1002,Yizi,yyiizzii@yahoo.com,5102068822,111,Iced tea,drink,2.05,placed,10
5,1002,Yizi,yyiizzii@yahoo.com,5102068822,102,Hamburger,burger,3.1,placed,30
6,1002,Yizi,yyiizzii@yahoo.com,5102068822,105,French Fries,side,2.1,placed,20
7,1002,Yizi,yyiizzii@yahoo.com,5102068822,112,Pink Lemonade,drink,2.25,in progress,10
7,1002,Yizi,yyiizzii@yahoo.com,5102068822,113,lemonade,drink,2.45,in progress,10
8,1003,Kenly,kensmallworld1@gmail.com,4109002342,101,Double-double,burger,5,complete,30
8,1003,Kenly,kensmallworld1@gmail.com,4109002342,102,Hamburger,burger,3.1,complete,30
8,1003,Kenly,kensmallworld1@gmail.com,4109002342,105,French Fries,side,2.1,complete,20
9,1003,Kenly,kensmallworld1@gmail.com,4109002342,102,Hamburger,burger,3.1,in progress,30
9,1003,Kenly,kensmallworld1@gmail.com,4109002342,116,Coffe,drink,1.35,in progress,10
10,1003,Kenly,kensmallworld1@gmail.com,4109002342,103,Shakes,drink,2.8,in progress,10
10,1003,Kenly,kensmallworld1@gmail.com,4109002342,106,coke,drink,2.25,in progress,10
10,1003,Kenly,kensmallworld1@gmail.com,4109002342,109,Dr pepper,drink,2.25,in progress,10
11,1003,Kenly,kensmallworld1@gmail.com,4109002342,114,Milk,drink,0.99,placed,10
12,1003,Kenly,kensmallworld1@gmail.com,4109002342,101,Double-double,burger,5,complete,30
13,1004,Elroy,elroyloveyou@me.com,5120902341,101,Double-double,burger,5,placed,30
14,1005,Bob,bob123321@gmail.com,5679132999,113,lemonade,drink,2.45,placed,10
15,1006,John,j123o123h123n@gmail.com,3452090323,103,Shakes,drink,2.8,in progress,10
15,1006,John,j123o123h123n@gmail.com,3452090323,103,Shakes,drink,2.8,in progress,10
15,1006,John,j123o123h123n@gmail.com,3452090323,103,Shakes,drink,2.8,in progress,10
15,1006,John,j123o123h123n@gmail.com,3452090323,105,French Fries,side,2.1,in progress,20
15,1006,John,j123o123h123n@gmail.com,3452090323,112,Pink Lemonade,drink,2.25,in progress,10
16,1006,John,j123o123h123n@gmail.com,3452090323,107,Diet coke,drink,2.25,complete,10
16,1006,John,j123o123h123n@gmail.com,3452090323,112,Pink Lemonade,drink,2.25,complete,10
16,1006,John,j123o123h123n@gmail.com,3452090323,104,Cheeseburger,burger,3.5,complete,30
17,1006,John,j123o123h123n@gmail.com,3452090323,102,Hamburger,burger,3.1,placed,30
18,1006,John,j123o123h123n@gmail.com,3452090323,101,Double-double,burger,5,placed,30
19,1007,Ketty,kettyjames2010@gmail.com,3413233801,102,Hamburger,burger,3.1,in progress,30
20,1007,Ketty,kettyjames2010@gmail.com,3413233801,101,Double-double,burger,5,complete,30
20,1007,Ketty,kettyjames2010@gmail.com,3413233801,111,Iced tea,drink,2.05,complete,10
21,1008,Aron,youandaron@gmail.com,2344325334,101,Double-double,burger,5,complete,30
22,1009,Alex,alexasd@hotmail.com,3452435444,102,Hamburger,burger,3.1,complete,30
23,1010,Jean,sdfsdfjean@gmail.com,3543245553,101,Double-double,burger,5,in progress,30
23,1010,Jean,sdfsdfjean@gmail.com,3543245553,105,French Fries,side,2.1,in progress,20
23,1010,Jean,sdfsdfjean@gmail.com,3543245553,110,Root Beer,drink,2.25,in progress,10
24,1010,Jean,sdfsdfjean@gmail.com,3543245553,102,Hamburger,burger,3.1,placed,30
25,1010,Jean,sdfsdfjean@gmail.com,3543245553,103,Shakes,drink,2.8,placed,10
26,1010,Jean,sdfsdfjean@gmail.com,3543245553,104,Cheeseburger,burger,3.5,in progress,30
26,1010,Jean,sdfsdfjean@gmail.com,3543245553,109,Dr pepper,drink,2.25,in progress,10
27,1010,Jean,sdfsdfjean@gmail.com,3543245553,112,Pink Lemonade,drink,2.25,in progress,10
28,1010,Jean,sdfsdfjean@gmail.com,3543245553,112,Pink Lemonade,drink,2.25,complete,10
29,1010,Jean,sdfsdfjean@gmail.com,3543245553,113,lemonade,drink,2.45,placed,10
29,1010,Jean,sdfsdfjean@gmail.com,3543245553,114,Milk,drink,0.99,placed,10
30,1011,Sam,samyousam@gmail.com,5109008876,116,Coffe,drink,1.35,in progress,10
30,1011,Sam,samyousam@gmail.com,5109008876,102,Hamburger,burger,3.1,in progress,30
30,1011,Sam,samyousam@gmail.com,5109008876,103,Shakes,drink,2.8,in progress,10
31,1011,Sam,samyousam@gmail.com,5109008876,112,Pink Lemonade,drink,2.25,complete,10
31,1011,Sam,samyousam@gmail.com,5109008876,115,Hot Cocoa,drink,2.05,complete,10
